year,city,total_population,migration_population,ratio
2011,太原(1401),2227562,567076,25.46
2012,太原(1401),2265971,562140,24.81
2013,太原(1401),2335195,566418,24.26
2014,太原(1401),2399936,573278,23.89
2015,太原(1401),2326600,543363,23.35
2016,太原(1401),2288476,519811,22.71
2017,太原(1401),2261689,500169,22.11
2018,太原(1401),2217996,478006,21.55
2019,太原(1401),2158497,454720,21.07
2020,太原(1401),3423943,709537,20.72
2000,威海(3710),493061,46479,9.43
2001,威海(3710),486900,48397,9.94
2002,威海(3710),484779,50625,10.44
2003,威海(3710),484054,52743,10.9
2004,威海(3710),487095,55393,11.37
2005,威海(3710),499765,59033,11.81
2006,威海(3710),542975,67093,12.36
2007,威海(3710),585467,75520,12.9
2008,威海(3710),628152,84517,13.45
2009,威海(3710),671359,93996,14.0
2010,威海(3710),696309,102054,14.66
2011,威海(3710),724588,106124,14.65
2012,威海(3710),743388,108767,14.63
2013,威海(3710),771467,112700,14.61
2014,威海(3710),797095,116611,14.63
2015,威海(3710),777248,113069,14.55
2016,威海(3710),771275,112385,14.57
2017,威海(3710),766182,109866,14.34
2018,威海(3710),756177,108084,14.29
2019,威海(3710),739747,105184,14.22
2020,威海(3710),1177173,166143,14.11
2000,娄底(4313),144650,2972,2.05
2001,娄底(4313),149675,3429,2.29
2002,娄底(4313),154144,3884,2.52
2003,娄底(4313),159031,4448,2.8
2004,娄底(4313),164477,4957,3.01
2005,娄底(4313),172787,5733,3.32
2006,娄底(4313),190974,6742,3.53
2007,娄底(4313),209455,7913,3.78
2008,娄底(4313),227938,9093,3.99
2009,娄底(4313),246551,10538,4.27
2010,娄底(4313),258625,11706,4.53
2011,娄底(4313),269266,12174,4.52
2012,娄底(4313),276077,12446,4.51
2013,娄底(4313),286768,12990,4.53
2014,娄底(4313),295967,13302,4.49
2015,娄底(4313),288998,13011,4.5
2016,娄底(4313),286626,12846,4.48
2017,娄底(4313),285329,12647,4.43
2018,娄底(4313),282009,12547,4.45
2019,娄底(4313),276024,12334,4.47
2020,娄底(4313),439717,19559,4.45
2000,孝感(4209),93554,984,1.05
2001,孝感(4209),95994,1084,1.13
2002,孝感(4209),99087,1213,1.22
2003,孝感(4209),102214,1425,1.39
2004,孝感(4209),105821,1657,1.57
2005,孝感(4209),110584,1848,1.67
2006,孝感(4209),122565,2256,1.84
2007,孝感(4209),134258,2596,1.93
2008,孝感(4209),146099,3101,2.12
2009,孝感(4209),157626,3488,2.21
2010,孝感(4209),164732,3844,2.33
2011,孝感(4209),171411,3884,2.27
2012,孝感(4209),175780,3909,2.22
2013,孝感(4209),182448,4064,2.23
2014,孝感(4209),188411,4296,2.28
2015,孝感(4209),183964,4077,2.22
2016,孝感(4209),182417,4020,2.2
2017,孝感(4209),181701,3984,2.19
2018,孝感(4209),179418,3948,2.2
2019,孝感(4209),175761,3897,2.22
2020,孝感(4209),281106,7353,2.62
2000,宁德(3509),134248,3144,2.34
2001,宁德(3509),136234,3625,2.66
2002,宁德(3509),138492,3909,2.82
2003,宁德(3509),141580,4461,3.15
2004,宁德(3509),144796,4993,3.45
2005,宁德(3509),151003,5673,3.76
2006,宁德(3509),165537,6522,3.94
2007,宁德(3509),180886,7762,4.29
2008,宁德(3509),195323,8926,4.57
2009,宁德(3509),210327,10106,4.8
2010,宁德(3509),220103,11339,5.15
2011,宁德(3509),228842,11503,5.03
2012,宁德(3509),234527,11671,4.98
2013,宁德(3509),243322,12003,4.93
2014,宁德(3509),251097,12175,4.85
2015,宁德(3509),245102,11767,4.8
2016,宁德(3509),242923,11606,4.78
2017,宁德(3509),241760,11365,4.7
2018,宁德(3509),238752,11182,4.68
2019,宁德(3509),233758,10898,4.66
2020,宁德(3509),372013,17051,4.58
2000,宁波(3302),2035641,320334,15.74
2001,宁波(3302),2265245,411167,18.15
2002,宁波(3302),2493205,510105,20.46
2003,宁波(3302),2722002,617458,22.68
2004,宁波(3302),2954794,733645,24.83
2005,宁波(3302),3249371,873971,26.9
2006,宁波(3302),3742740,1075198,28.73
2007,宁波(3302),4253547,1292032,30.38
2008,宁波(3302),4759160,1502724,31.58
2009,宁波(3302),5329067,1775981,33.33
2010,宁波(3302),5686031,1936073,34.05
2011,宁波(3302),5823960,1921125,32.99
2012,宁波(3302),5907098,1902452,32.21
2013,宁波(3302),6070859,1913514,31.52
2014,宁波(3302),6201222,1908199,30.77
2015,宁波(3302),6002334,1811260,30.18
2016,宁波(3302),5911525,1754120,29.67
2017,宁波(3302),5838983,1698517,29.09
2018,宁波(3302),5712522,1623068,28.41
2019,宁波(3302),5551624,1546955,27.86
2020,宁波(3302),8799021,2418980,27.49
2000,安庆(3408),128797,1412,1.1
2001,安庆(3408),140915,1848,1.31
2002,安庆(3408),152698,2480,1.62
2003,安庆(3408),163398,2972,1.82
2004,安庆(3408),174074,3504,2.01
2005,安庆(3408),187559,4520,2.41
2006,安庆(3408),212090,5684,2.68
2007,安庆(3408),236860,6977,2.95
2008,安庆(3408),261697,8237,3.15
2009,安庆(3408),287020,9744,3.39
2010,安庆(3408),304523,11621,3.82
2011,安庆(3408),317075,12161,3.84
2012,安庆(3408),325159,12358,3.8
2013,安庆(3408),337665,12857,3.81
2014,安庆(3408),348469,13065,3.75
2015,安庆(3408),342428,15070,4.4
2016,安庆(3408),339678,14866,4.38
2017,安庆(3408),338147,14725,4.35
2018,安庆(3408),333809,14417,4.32
2019,安庆(3408),326736,13930,4.26
2020,安庆(3408),523922,25574,4.88
2000,安康(6109),67457,828,1.23
2001,安康(6109),64171,800,1.25
2002,安康(6109),62301,800,1.28
2003,安康(6109),60393,804,1.33
2004,安康(6109),59362,804,1.35
2005,安康(6109),59369,961,1.62
2006,安康(6109),62960,996,1.58
2007,安康(6109),66431,1081,1.63
2008,安康(6109),69607,1212,1.74
2009,安康(6109),73105,1252,1.71
2010,安康(6109),74172,1292,1.74
2011,安康(6109),77406,1425,1.84
2012,安康(6109),79330,1492,1.88
2013,安康(6109),82330,1492,1.81
2014,安康(6109),85129,1625,1.91
2015,安康(6109),83117,1624,1.95
2016,安康(6109),82335,1504,1.83
2017,安康(6109),81970,1504,1.83
2018,安康(6109),81052,1492,1.84
2019,安康(6109),79327,1492,1.88
2020,安康(6109),126561,2545,2.01
2000,安阳(4105),227107,5217,2.3
2001,安阳(4105),224170,5668,2.53
2002,安阳(4105),223135,5920,2.65
2003,安阳(4105),222912,6253,2.81
2004,安阳(4105),223391,6533,2.92
2005,安阳(4105),229334,7261,3.17
2006,安阳(4105),248509,8273,3.33
2007,安阳(4105),267244,9409,3.52
2008,安阳(4105),285954,10513,3.68
2009,安阳(4105),304401,11710,3.85
2010,安阳(4105),314557,12681,4.03
2011,安阳(4105),327454,13062,3.99
2012,安阳(4105),335734,13329,3.97
2013,安阳(4105),348539,13857,3.98
2014,安阳(4105),360127,14373,3.99
2015,安阳(4105),351313,13857,3.94
2016,安阳(4105),348416,13737,3.94
2017,安阳(4105),347063,13618,3.92
2018,安阳(4105),342680,13341,3.89
2019,安阳(4105),335394,12985,3.87
2020,安阳(4105),533962,20355,3.81
2000,安顺(5204),130233,3625,2.78
2001,安顺(5204),129764,3845,2.96
2002,安顺(5204),129839,3985,3.07
2003,安顺(5204),130701,4301,3.29
2004,安顺(5204),132400,4673,3.53
2005,安顺(5204),136054,5158,3.79
2006,安顺(5204),148788,6218,4.18
2007,安顺(5204),161115,7245,4.5
2008,安顺(5204),173137,8310,4.8
2009,安顺(5204),185518,9559,5.15
2010,安顺(5204),192532,10579,5.49
2011,安顺(5204),200530,11111,5.54
2012,安顺(5204),205695,11367,5.53
2013,安顺(5204),213503,11746,5.5
2014,安顺(5204),220257,12011,5.45
2015,安顺(5204),215089,11752,5.46
2016,安顺(5204),212830,11071,5.2
2017,安顺(5204),211888,10939,5.16
2018,安顺(5204),209115,10740,5.14
2019,安顺(5204),204853,10503,5.13
2020,安顺(5204),326191,16656,5.11
2000,定西(6211),0,0,nan
2001,定西(6211),0,0,nan
2002,定西(6211),0,0,nan
2003,定西(6211),0,0,nan
2004,定西(6211),0,0,nan
2005,定西(6211),0,0,nan
2006,定西(6211),0,0,nan
2007,定西(6211),0,0,nan
2008,定西(6211),0,0,nan
2009,定西(6211),0,0,nan
2010,定西(6211),0,0,nan
2011,定西(6211),0,0,nan
2012,定西(6211),0,0,nan
2013,定西(6211),0,0,nan
2014,定西(6211),0,0,nan
2015,定西(6211),0,0,nan
2016,定西(6211),0,0,nan
2017,定西(6211),0,0,nan
2018,定西(6211),0,0,nan
2019,定西(6211),0,0,nan
2020,定西(6211),0,0,nan
2000,宜宾(5115),214306,4969,2.32
2001,宜宾(5115),214048,5477,2.56
2002,宜宾(5115),215295,5920,2.75
2003,宜宾(5115),217444,6453,2.97
2004,宜宾(5115),219782,6949,3.16
2005,宜宾(5115),227577,8253,3.63
2006,宜宾(5115),248634,9714,3.91
2007,宜宾(5115),269035,10990,4.08
2008,宜宾(5115),289693,12482,4.31
2009,宜宾(5115),310037,14046,4.53
2010,宜宾(5115),321769,15178,4.72
2011,宜宾(5115),335186,15947,4.76
2012,宜宾(5115),343899,16418,4.77
2013,宜宾(5115),357191,17174,4.81
2014,宜宾(5115),368729,17674,4.79
2015,宜宾(5115),360049,17274,4.8
2016,宜宾(5115),357005,17002,4.76
2017,宜宾(5115),355334,16762,4.72
2018,宜宾(5115),350948,16427,4.68
2019,宜宾(5115),343427,15946,4.64
2020,宜宾(5115),547134,25377,4.64
2000,宜昌(4205),545302,36685,6.73
2001,宜昌(4205),514117,35476,6.9
2002,宜昌(4205),490287,34757,7.09
2003,宜昌(4205),471762,34416,7.3
2004,宜昌(4205),457178,34240,7.49
2005,宜昌(4205),453823,34921,7.69
2006,宜昌(4205),476732,37597,7.89
2007,宜昌(4205),498442,40113,8.05
2008,宜昌(4205),519147,42510,8.19
2009,宜昌(4205),539205,45082,8.36
2010,宜昌(4205),543789,46089,8.48
2011,宜昌(4205),566203,47978,8.47
2012,宜昌(4205),580501,48955,8.43
2013,宜昌(4205),602428,50567,8.39
2014,宜昌(4205),622009,52251,8.4
2015,宜昌(4205),607054,50819,8.37
2016,宜昌(4205),602076,50150,8.33
2017,宜昌(4205),599530,49884,8.32
2018,宜昌(4205),592022,49170,8.31
2019,宜昌(4205),579838,48262,8.32
2020,宜昌(4205),928739,81981,8.83
2000,宜春(3609),137764,1896,1.38
2001,宜春(3609),133725,1909,1.43
2002,宜春(3609),130709,1981,1.52
2003,宜春(3609),128635,2032,1.58
2004,宜春(3609),127428,2044,1.6
2005,宜春(3609),129051,2260,1.75
2006,宜春(3609),138474,2516,1.82
2007,宜春(3609),147273,2673,1.81
2008,宜春(3609),156172,3016,1.93
2009,宜春(3609),164832,3209,1.95
2010,宜春(3609),168998,3504,2.07
2011,宜春(3609),176180,3780,2.15
2012,宜春(3609),180539,3845,2.13
2013,宜春(3609),187391,3908,2.09
2014,宜春(3609),193507,4113,2.13
2015,宜春(3609),189087,4064,2.15
2016,宜春(3609),187467,4028,2.15
2017,宜春(3609),186894,4101,2.19
2018,宜春(3609),184414,4064,2.2
2019,宜春(3609),180703,4028,2.23
2020,宜春(3609),287968,6569,2.28
2000,宝鸡(6103),117813,1896,1.61
2001,宝鸡(6103),124065,2333,1.88
2002,宝鸡(6103),130059,2676,2.06
2003,宝鸡(6103),135756,3193,2.35
2004,宝鸡(6103),141748,3776,2.66
2005,宝鸡(6103),150172,4301,2.86
2006,宝鸡(6103),166885,5129,3.07
2007,宝鸡(6103),184497,6205,3.36
2008,宝鸡(6103),202139,7246,3.58
2009,宝鸡(6103),219580,8570,3.9
2010,宝鸡(6103),231221,9601,4.15
2011,宝鸡(6103),240765,9934,4.13
2012,宝鸡(6103),246998,10277,4.16
2013,宝鸡(6103),256344,10637,4.15
2014,宝鸡(6103),264834,11098,4.19
2015,宝鸡(6103),258674,10906,4.22
2016,宝鸡(6103),256662,10957,4.27
2017,宝鸡(6103),255815,11151,4.36
2018,宝鸡(6103),252883,11189,4.42
2019,宝鸡(6103),247898,11189,4.51
2020,宝鸡(6103),395394,18279,4.62
2000,宣城(3418),89547,1625,1.81
2001,宣城(3418),95080,1848,1.94
2002,宣城(3418),100148,2272,2.27
2003,宣城(3418),105228,2621,2.49
2004,宣城(3418),110201,3152,2.86
2005,宣城(3418),117414,3865,3.29
2006,宣城(3418),131156,4705,3.59
2007,宣城(3418),145207,5681,3.91
2008,宣城(3418),159019,6606,4.15
2009,宣城(3418),173381,7706,4.44
2010,宣城(3418),182715,8742,4.78
2011,宣城(3418),190297,9078,4.77
2012,宣城(3418),195230,9222,4.72
2013,宣城(3418),202636,9770,4.82
2014,宣城(3418),209247,9995,4.78
2015,宣城(3418),204133,9551,4.68
2016,宣城(3418),202228,9362,4.63
2017,宣城(3418),201258,9187,4.56
2018,宣城(3418),198897,9054,4.55
2019,宣城(3418),194911,8898,4.57
2020,宣城(3418),311107,15032,4.83
2000,宿州(3413),94605,800,0.85
2001,宿州(3413),92014,804,0.87
2002,宿州(3413),90213,804,0.89
2003,宿州(3413),89164,828,0.93
2004,宿州(3413),88378,840,0.95
2005,宿州(3413),89967,996,1.11
2006,宿州(3413),96714,1084,1.12
2007,宿州(3413),102940,1212,1.18
2008,宿州(3413),109365,1292,1.18
2009,宿州(3413),115075,1492,1.3
2010,宿州(3413),118781,1736,1.46
2011,宿州(3413),123634,1809,1.46
2012,宿州(3413),126818,1848,1.46
2013,宿州(3413),131598,1884,1.43
2014,宿州(3413),135891,1896,1.4
2015,宿州(3413),132653,1848,1.39
2016,宿州(3413),131562,1848,1.4
2017,宿州(3413),130954,1809,1.38
2018,宿州(3413),129412,1804,1.39
2019,宿州(3413),126703,1736,1.37
2020,宿州(3413),202137,3053,1.51
2000,宿迁(3213),104336,1081,1.04
2001,宿迁(3213),106195,1212,1.14
2002,宿迁(3213),108500,1412,1.3
2003,宿迁(3213),110675,1624,1.47
2004,宿迁(3213),113115,1756,1.55
2005,宿迁(3213),117957,1981,1.68
2006,宿迁(3213),129834,2480,1.91
2007,宿迁(3213),141444,2812,1.99
2008,宿迁(3213),152918,3236,2.12
2009,宿迁(3213),164481,3845,2.34
2010,宿迁(3213),171627,4113,2.4
2011,宿迁(3213),178872,4313,2.41
2012,宿迁(3213),183377,4424,2.41
2013,宿迁(3213),190243,4545,2.39
2014,宿迁(3213),196395,4648,2.37
2015,宿迁(3213),191960,4532,2.36
2016,宿迁(3213),190156,4460,2.35
2017,宿迁(3213),189491,4436,2.34
2018,宿迁(3213),187022,4313,2.31
2019,宿迁(3213),183223,4260,2.33
2020,宿迁(3213),291874,6816,2.34
2000,山南(5405),0,0,nan
2001,山南(5405),0,0,nan
2002,山南(5405),0,0,nan
2003,山南(5405),0,0,nan
2004,山南(5405),0,0,nan
2005,山南(5405),0,0,nan
2006,山南(5405),0,0,nan
2007,山南(5405),0,0,nan
2008,山南(5405),0,0,nan
2009,山南(5405),0,0,nan
2010,山南(5405),0,0,nan
2011,山南(5405),0,0,nan
2012,山南(5405),0,0,nan
2013,山南(5405),0,0,nan
2014,山南(5405),0,0,nan
2015,山南(5405),0,0,nan
2016,山南(5405),0,0,nan
2017,山南(5405),0,0,nan
2018,山南(5405),0,0,nan
2019,山南(5405),0,0,nan
2020,山南(5405),0,0,nan
2000,岳阳(4306),362564,11973,3.3
2001,岳阳(4306),330687,10905,3.3
2002,岳阳(4306),304731,9905,3.25
2003,岳阳(4306),283719,9185,3.24
2004,岳阳(4306),266545,8729,3.27
2005,岳阳(4306),256078,8345,3.26
2006,岳阳(4306),260581,8517,3.27
2007,岳阳(4306),264127,8601,3.26
2008,岳阳(4306),266824,8669,3.25
2009,岳阳(4306),269042,8741,3.25
2010,岳阳(4306),263255,8497,3.23
2011,岳阳(4306),274086,8961,3.27
2012,岳阳(4306),281227,9161,3.26
2013,岳阳(4306),292021,9701,3.32
2014,岳阳(4306),301523,9905,3.28
2015,岳阳(4306),294475,9781,3.32
2016,岳阳(4306),292125,9781,3.35
2017,岳阳(4306),291024,9782,3.36
2018,岳阳(4306),287610,9745,3.39
2019,岳阳(4306),281786,9745,3.46
2020,岳阳(4306),449102,15713,3.5
2000,崇左(4514),0,0,nan
2001,崇左(4514),0,0,nan
2002,崇左(4514),0,0,nan
2003,崇左(4514),0,0,nan
2004,崇左(4514),0,0,nan
2005,崇左(4514),0,0,nan
2006,崇左(4514),0,0,nan
2007,崇左(4514),0,0,nan
2008,崇左(4514),0,0,nan
2009,崇左(4514),0,0,nan
2010,崇左(4514),0,0,nan
2011,崇左(4514),0,0,nan
2012,崇左(4514),0,0,nan
2013,崇左(4514),0,0,nan
2014,崇左(4514),0,0,nan
2015,崇左(4514),0,0,nan
2016,崇左(4514),0,0,nan
2017,崇左(4514),0,0,nan
2018,崇左(4514),0,0,nan
2019,崇左(4514),0,0,nan
2020,崇左(4514),0,0,nan
2000,巴中(5119),43331,348,0.8
2001,巴中(5119),42960,348,0.81
2002,巴中(5119),42991,348,0.81
2003,巴中(5119),43213,420,0.97
2004,巴中(5119),43558,424,0.97
2005,巴中(5119),44991,496,1.1
2006,巴中(5119),48475,572,1.18
2007,巴中(5119),52232,629,1.2
2008,巴中(5119),55890,680,1.22
2009,巴中(5119),60005,724,1.21
2010,巴中(5119),61850,725,1.17
2011,巴中(5119),64587,804,1.24
2012,巴中(5119),66253,804,1.21
2013,巴中(5119),68597,828,1.21
2014,巴中(5119),71010,964,1.36
2015,巴中(5119),69310,961,1.39
2016,巴中(5119),68732,964,1.4
2017,巴中(5119),68525,964,1.41
2018,巴中(5119),67732,996,1.47
2019,巴中(5119),66448,996,1.5
2020,巴中(5119),105647,1645,1.56
2000,巴彦淖尔(1508),0,0,nan
2001,巴彦淖尔(1508),0,0,nan
2002,巴彦淖尔(1508),0,0,nan
2003,巴彦淖尔(1508),0,0,nan
2004,巴彦淖尔(1508),0,0,nan
2005,巴彦淖尔(1508),0,0,nan
2006,巴彦淖尔(1508),0,0,nan
2007,巴彦淖尔(1508),0,0,nan
2008,巴彦淖尔(1508),0,0,nan
2009,巴彦淖尔(1508),0,0,nan
2010,巴彦淖尔(1508),0,0,nan
2011,巴彦淖尔(1508),0,0,nan
2012,巴彦淖尔(1508),0,0,nan
2013,巴彦淖尔(1508),0,0,nan
2014,巴彦淖尔(1508),0,0,nan
2015,巴彦淖尔(1508),0,0,nan
2016,巴彦淖尔(1508),0,0,nan
2017,巴彦淖尔(1508),0,0,nan
2018,巴彦淖尔(1508),0,0,nan
2019,巴彦淖尔(1508),0,0,nan
2020,巴彦淖尔(1508),0,0,nan
2000,常州(3204),1296747,205121,15.82
2001,常州(3204),1387983,245551,17.69
2002,常州(3204),1481054,288637,19.49
2003,常州(3204),1576155,334544,21.23
2004,常州(3204),1673168,383130,22.9
2005,常州(3204),1804770,442428,24.51
2006,常州(3204),2037774,524119,25.72
2007,常州(3204),2282645,617764,27.06
2008,常州(3204),2544947,728053,28.61
2009,常州(3204),2819508,850927,30.18
2010,常州(3204),2995783,930496,31.06
2011,常州(3204),3101122,951443,30.68
2012,常州(3204),3170667,965103,30.44
2013,常州(3204),3289987,1000286,30.4
2014,常州(3204),3395820,1031543,30.38
2015,常州(3204),3188484,880382,27.61
2016,常州(3204),3284832,995203,30.3
2017,常州(3204),3268536,988467,30.24
2018,常州(3204),3225394,973080,30.17
2019,常州(3204),3156301,950718,30.12
2020,常州(3204),4814953,1300946,27.02
2000,常德(4307),187966,3113,1.66
2001,常德(4307),187020,3308,1.77
2002,常德(4307),187847,3729,1.99
2003,常德(4307),188715,3897,2.07
2004,常德(4307),190692,4296,2.25
2005,常德(4307),196620,4741,2.41
2006,常德(4307),214224,5477,2.56
2007,常德(4307),231373,6260,2.71
2008,常德(4307),248789,7200,2.89
2009,常德(4307),265642,8104,3.05
2010,常德(4307),275389,8909,3.24
2011,常德(4307),286670,9306,3.25
2012,常德(4307),294326,9701,3.3
2013,常德(4307),305399,10057,3.29
2014,常德(4307),315576,10541,3.34
2015,常德(4307),308119,10324,3.35
2016,常德(4307),305518,10177,3.33
2017,常德(4307),304479,10262,3.37
2018,常德(4307),300613,10189,3.39
2019,常德(4307),294797,10165,3.45
2020,常德(4307),469644,16454,3.5
2000,平凉(6208),51371,668,1.3
2001,平凉(6208),50677,680,1.34
2002,平凉(6208),50718,708,1.4
2003,平凉(6208),50899,725,1.42
2004,平凉(6208),51387,804,1.56
2005,平凉(6208),52440,841,1.6
2006,平凉(6208),57288,996,1.74
2007,平凉(6208),61805,1196,1.94
2008,平凉(6208),66028,1252,1.9
2009,平凉(6208),70422,1480,2.1
2010,平凉(6208),73172,1696,2.32
2011,平凉(6208),76337,1769,2.32
2012,平凉(6208),78302,1848,2.36
2013,平凉(6208),81112,1897,2.34
2014,平凉(6208),83922,2032,2.42
2015,平凉(6208),81936,1984,2.42
2016,平凉(6208),81218,1996,2.46
2017,平凉(6208),81065,1996,2.46
2018,平凉(6208),80023,1996,2.49
2019,平凉(6208),78458,1996,2.54
2020,平凉(6208),124928,3237,2.59
2000,平顶山(4104),211661,4969,2.35
2001,平顶山(4104),211220,5429,2.57
2002,平顶山(4104),212213,5861,2.76
2003,平顶山(4104),213882,6297,2.94
2004,平顶山(4104),216610,6778,3.13
2005,平顶山(4104),223325,7429,3.33
2006,平顶山(4104),243791,8650,3.55
2007,平顶山(4104),263363,9769,3.71
2008,平顶山(4104),283153,10993,3.88
2009,平顶山(4104),302978,12333,4.07
2010,平顶山(4104),313848,13302,4.24
2011,平顶山(4104),326804,13870,4.24
2012,平顶山(4104),335265,14362,4.28
2013,平顶山(4104),348178,14902,4.28
2014,平顶山(4104),359412,15254,4.24
2015,平顶山(4104),350973,14990,4.27
2016,平顶山(4104),348059,14801,4.25
2017,平顶山(4104),346682,14794,4.27
2018,平顶山(4104),342276,14486,4.23
2019,平顶山(4104),334868,13938,4.16
2020,平顶山(4104),533573,22219,4.16
2000,广元(5108),104538,1848,1.77
2001,广元(5108),108241,2372,2.19
2002,广元(5108),111889,2712,2.42
2003,广元(5108),115366,3152,2.73
2004,广元(5108),119522,3625,3.03
2005,广元(5108),125477,4101,3.27
2006,广元(5108),138739,4897,3.53
2007,广元(5108),152488,5846,3.83
2008,广元(5108),165896,6745,4.07
2009,广元(5108),179026,7746,4.33
2010,广元(5108),189006,9547,5.05
2011,广元(5108),196749,9822,4.99
2012,广元(5108),201957,10094,5.0
2013,广元(5108),209599,10579,5.05
2014,广元(5108),216562,10899,5.03
2015,广元(5108),211401,10666,5.05
2016,广元(5108),209694,10714,5.11
2017,广元(5108),209191,10866,5.19
2018,广元(5108),206657,10871,5.26
2019,广元(5108),202591,10743,5.3
2020,广元(5108),322942,17473,5.41
2000,广安(5116),73053,724,0.99
2001,广安(5116),70562,724,1.03
2002,广安(5116),68372,725,1.06
2003,广安(5116),66863,725,1.08
2004,广安(5116),66131,800,1.21
2005,广安(5116),66806,804,1.2
2006,广安(5116),71231,841,1.18
2007,广安(5116),75782,996,1.31
2008,广安(5116),79880,1084,1.36
2009,广安(5116),84053,1212,1.44
2010,广安(5116),86159,1492,1.73
2011,广安(5116),89891,1644,1.83
2012,广安(5116),92433,1681,1.82
2013,广安(5116),95563,1700,1.78
2014,广安(5116),98675,1793,1.82
2015,广安(5116),96333,1700,1.76
2016,广安(5116),95560,1696,1.77
2017,广安(5116),95271,1684,1.77
2018,广安(5116),93963,1684,1.79
2019,广安(5116),92057,1625,1.77
2020,广安(5116),146758,2544,1.73
2000,广州(4401),9081916,3024392,33.3
2001,广州(4401),9159171,3237714,35.35
2002,广州(4401),9403147,3565448,37.92
2003,广州(4401),9740634,3949100,40.54
2004,广州(4401),10128991,4356446,43.01
2005,广州(4401),10881775,5002173,45.97
2006,广州(4401),11700974,5372388,45.91
2007,广州(4401),12411667,5641931,45.46
2008,广州(4401),13052072,5847826,44.8
2009,广州(4401),13598735,5966333,43.87
2010,广州(4401),13676934,5830557,42.63
2011,广州(4401),13666095,5499930,40.25
2012,广州(4401),13575231,5196181,38.28
2013,广州(4401),13764107,5065556,36.8
2014,广州(4401),13912639,4929985,35.44
2015,广州(4401),13281294,4511749,33.97
2016,广州(4401),12845255,4146726,32.28
2017,广州(4401),12560185,3897068,31.03
2018,广州(4401),12246573,3690186,30.13
2019,广州(4401),11899892,3520901,29.59
2020,广州(4401),18779051,5429391,28.91
2000,庆阳(6210),0,0,nan
2001,庆阳(6210),0,0,nan
2002,庆阳(6210),0,0,nan
2003,庆阳(6210),0,0,nan
2004,庆阳(6210),0,0,nan
2005,庆阳(6210),0,0,nan
2006,庆阳(6210),0,0,nan
2007,庆阳(6210),0,0,nan
2008,庆阳(6210),0,0,nan
2009,庆阳(6210),0,0,nan
2010,庆阳(6210),0,0,nan
2011,庆阳(6210),0,0,nan
2012,庆阳(6210),0,0,nan
2013,庆阳(6210),0,0,nan
2014,庆阳(6210),0,0,nan
2015,庆阳(6210),0,0,nan
2016,庆阳(6210),0,0,nan
2017,庆阳(6210),0,0,nan
2018,庆阳(6210),0,0,nan
2019,庆阳(6210),0,0,nan
2020,庆阳(6210),0,0,nan
2000,廊坊(1310),326627,14574,4.46
2001,廊坊(1310),349338,17870,5.12
2002,廊坊(1310),371202,21403,5.77
2003,廊坊(1310),392613,25228,6.43
2004,廊坊(1310),413911,29194,7.05
2005,廊坊(1310),442383,33998,7.69
2006,廊坊(1310),497231,41018,8.25
2007,廊坊(1310),552220,48449,8.77
2008,廊坊(1310),608920,56980,9.36
2009,廊坊(1310),666056,66203,9.94
2010,廊坊(1310),701608,70177,10.0
2011,廊坊(1310),729434,72427,9.93
2012,廊坊(1310),747689,73514,9.83
2013,廊坊(1310),775764,75831,9.78
2014,廊坊(1310),799977,77281,9.66
2015,廊坊(1310),780266,74655,9.57
2016,廊坊(1310),773078,73132,9.46
2017,廊坊(1310),767793,70714,9.21
2018,廊坊(1310),756672,68259,9.02
2019,廊坊(1310),739729,65572,8.86
2020,廊坊(1310),1166982,92885,7.96
2000,延安(6106),158837,6742,4.24
2001,延安(6106),162173,7574,4.67
2002,延安(6106),165483,8306,5.02
2003,延安(6106),169108,9055,5.35
2004,延安(6106),173507,9855,5.68
2005,延安(6106),180865,10879,6.01
2006,延安(6106),199105,12685,6.37
2007,延安(6106),217310,14593,6.72
2008,延安(6106),236107,16875,7.15
2009,延安(6106),254404,18886,7.42
2010,延安(6106),265624,20610,7.76
2011,延安(6106),276462,21363,7.73
2012,延安(6106),283464,21687,7.65
2013,延安(6106),293874,22202,7.55
2014,延安(6106),303171,22698,7.49
2015,延安(6106),295638,21942,7.42
2016,延安(6106),293267,21580,7.36
2017,延安(6106),291956,21369,7.32
2018,延安(6106),288428,21098,7.31
2019,延安(6106),282644,20866,7.38
2020,延安(6106),450300,33457,7.43
2000,开封(4102),116343,1492,1.28
2001,开封(4102),125845,1896,1.51
2002,开封(4102),134124,2333,1.74
2003,开封(4102),142291,2808,1.97
2004,开封(4102),150100,3284,2.19
2005,开封(4102),160633,3897,2.43
2006,开封(4102),181034,4913,2.71
2007,开封(4102),200947,5920,2.95
2008,开封(4102),221381,7101,3.21
2009,开封(4102),241804,8262,3.42
2010,开封(4102),255609,9293,3.64
2011,开封(4102),266027,9658,3.63
2012,开封(4102),272658,9793,3.59
2013,开封(4102),283134,10165,3.59
2014,开封(4102),292278,10460,3.58
2015,开封(4102),285358,10238,3.59
2016,开封(4102),282983,10057,3.55
2017,开封(4102),282006,9997,3.54
2018,开封(4102),278544,9893,3.55
2019,开封(4102),272630,9714,3.56
2020,开封(4102),434172,15290,3.52
2000,张家口(1307),355297,15747,4.43
2001,张家口(1307),367681,18303,4.98
2002,张家口(1307),380373,20931,5.5
2003,张家口(1307),393449,23692,6.02
2004,张家口(1307),407323,26724,6.56
2005,张家口(1307),429179,30504,7.11
